epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,3440.05,0.7505,0.44914,0.9121,0.85672,0.6022,0.62835,0.43604,0.86079,0.44609,0.92482,0.000495125,0.000495125,0.000495125
124,3468.25,0.75399,0.45477,0.91063,0.93146,0.58834,0.64664,0.4385,0.85281,0.44252,0.92378,0.000488938,0.000488938,0.000488938
125,3495.92,0.74365,0.45063,0.90945,0.926,0.58992,0.64401,0.43943,0.85231,0.4387,0.91895,0.00048275,0.00048275,0.00048275
126,3523.72,0.73729,0.44677,0.90764,0.91348,0.59002,0.63866,0.43642,0.85757,0.45171,0.92609,0.000476562,0.000476562,0.000476562
127,3553.05,0.75601,0.44824,0.91282,0.8904,0.58901,0.6393,0.43274,0.86976,0.45527,0.93194,0.000470375,0.000470375,0.000470375
128,3580.83,0.74544,0.44378,0.90704,0.9159,0.61549,0.64786,0.43029,0.85054,0.43953,0.92496,0.000464188,0.000464188,0.000464188
129,3608.32,0.73592,0.43668,0.90516,0.89999,0.60765,0.62857,0.43537,0.85189,0.43847,0.92737,0.000458,0.000458,0.000458
130,3635.78,0.74656,0.44106,0.90571,0.89918,0.61184,0.63996,0.44722,0.85279,0.43985,0.92227,0.000451813,0.000451813,0.000451813
131,3663.01,0.74472,0.43903,0.91199,0.90721,0.56941,0.63513,0.44346,0.85177,0.44165,0.92288,0.000445625,0.000445625,0.000445625
132,3690.15,0.74499,0.43798,0.90263,0.93061,0.59529,0.64197,0.44434,0.86194,0.44998,0.92243,0.000439437,0.000439437,0.000439437
133,3718.73,0.72598,0.43333,0.90035,0.91757,0.58808,0.64094,0.43825,0.85297,0.44199,0.92415,0.00043325,0.00043325,0.00043325
134,3746.27,0.72934,0.43485,0.90417,0.89317,0.60359,0.63513,0.44081,0.85857,0.45039,0.92571,0.000427062,0.000427062,0.000427062
135,3773.83,0.72604,0.43174,0.90402,0.94353,0.58954,0.63527,0.44613,0.85116,0.44405,0.92217,0.000420875,0.000420875,0.000420875
136,3801.1,0.71739,0.42789,0.90747,0.90248,0.58964,0.63977,0.43576,0.84857,0.43734,0.92182,0.000414688,0.000414688,0.000414688
137,3829.03,0.72375,0.42725,0.90033,0.90193,0.57829,0.63605,0.43664,0.85215,0.43541,0.92959,0.0004085,0.0004085,0.0004085
138,3858.32,0.73199,0.42706,0.90569,0.87439,0.59973,0.62273,0.43021,0.86523,0.45017,0.92775,0.000402312,0.000402312,0.000402312
139,3886.02,0.72567,0.42933,0.90123,0.85772,0.61028,0.61119,0.43552,0.85718,0.4526,0.92474,0.000396125,0.000396125,0.000396125
140,3913.57,0.70976,0.42149,0.90177,0.87438,0.61488,0.63228,0.44221,0.85634,0.44658,0.92673,0.000389938,0.000389938,0.000389938
141,3940.97,0.72335,0.43259,0.89994,0.89518,0.60453,0.63218,0.44993,0.85486,0.4373,0.92331,0.00038375,0.00038375,0.00038375
142,3968.6,0.71438,0.42515,0.89845,0.90411,0.59434,0.64049,0.44098,0.85354,0.43705,0.9203,0.000377563,0.000377563,0.000377563
143,3996.08,0.72048,0.42376,0.90164,0.89461,0.60592,0.62984,0.44425,0.8511,0.4393,0.9194,0.000371375,0.000371375,0.000371375
144,4025.26,0.71016,0.41496,0.89172,0.92131,0.58895,0.63563,0.44844,0.84948,0.43688,0.91798,0.000365188,0.000365188,0.000365188
145,4053.11,0.72052,0.42585,0.90035,0.88574,0.59069,0.6292,0.43332,0.86031,0.44878,0.92166,0.000359,0.000359,0.000359
146,4080.23,0.71371,0.43072,0.89762,0.88537,0.57586,0.61307,0.43879,0.85542,0.44474,0.92018,0.000352812,0.000352812,0.000352812
147,4107.4,0.71254,0.42061,0.89581,0.87888,0.61132,0.6425,0.44078,0.86254,0.43943,0.9248,0.000346625,0.000346625,0.000346625
148,4134.93,0.70632,0.42086,0.89728,0.88603,0.60552,0.62988,0.44235,0.85648,0.4427,0.92136,0.000340438,0.000340438,0.000340438
149,4163.37,0.71161,0.4176,0.89906,0.89973,0.56966,0.6217,0.43864,0.85283,0.43801,0.92573,0.00033425,0.00033425,0.00033425
150,4190.96,0.70194,0.4155,0.89507,0.90886,0.57057,0.62703,0.4415,0.84864,0.43075,0.92554,0.000328063,0.000328063,0.000328063
151,4218,0.68554,0.41157,0.89189,0.87001,0.60846,0.63758,0.45246,0.84727,0.43308,0.92373,0.000321875,0.000321875,0.000321875
